title,developer,publisher,tags,overview
Spooky's Jump Scare Mansion,Lag Studios ,Lag Studios ,"['Horror', 'Free to Play', 'Cute', 'First-Person', 'Singleplayer', 'Psychological Horror', 'Indie', 'Adventure', 'Dark', 'Funny', 'Atmospheric', 'Action', 'Walking Simulator', 'Survival', 'Survival Horror', 'Anime', 'Gore', 'Comedy', 'Multiplayer', 'Illuminati']","Can you survive 1000 rooms of cute terror? Or will you break once the cuteness starts to fade off and you're running for your life from the unspeakable hideous beings that shake and writhe in bowels of this house? They wait for you, they wait and hunger for meeting you. They long to finally meet you and show you how flexible your skin can be after it has soaked in blood. Will you brave this journey, will you set to beat the impossible, the insane, and the incorporeal?"
Sakura Clicker,Winged Cloud ,Winged Cloud ,"['Nudity', 'Anime', 'Free to Play', 'Mature', 'Sexual Content', 'Clicker', 'Female Protagonist', 'Singleplayer', 'Casual', 'Indie', 'Fantasy', 'NSFW', 'Memes', 'Funny', '2D', 'RPG', 'Story Rich', 'Adventure', 'Dating Sim', 'Illuminati']","The latest entry in the Sakura series is more action-packed than ever before! Sakura Clickers is a fast-paced, exciting adventure, full of content, in which you defeat your foes with the power of your mouse!Fearsome Foes - The battle never ends as you fight a horde of enemies, each one more powerful than the last as they attempt to impede your path.Customisable Characters - As you earn gold from slaying your foes, you can purchase and outfit your hero with a variety of costumes.Helpful Allies - You don't have to face these evils alone! As you progress you may also hire a number of allies that are dedicated to assisting you in fighting the evils that threaten the world.Also included is 800+ moans as you defeat the monsters.Voice Actors Credits:北森あゆKitamori AyuカンザキカナリKanzaki Canari九十九円Tsukumo Madoka兼田めぐみKaneta Megumi桐谷蝶々Kiritani Choucho土井友加里Doi Yukariありかわ真奈Arikawa Mana渋井美貴Shibui Miki工藤マミKudou Mami飯田さちIida Sachi安田みずほYasuda Mizuho"
WARMODE,WARTEAM ,WARTEAM ,"['Early Access', 'Free to Play', 'FPS', 'Multiplayer', 'Shooter', 'Action', 'First-Person', 'Early Access', 'War', 'Massively Multiplayer', 'Co-op', 'Zombies', 'Singleplayer', 'Survival', 'Controller', 'Open World', 'Online Co-Op', 'Gore', 'Atmospheric', 'Adventure']","Free to play shooter about the confrontation of two irreconcilable sides, represented by the government military housings and the armed hirelings. Try your hand at virtual battles with off-scale dynamics and hurricane gameplay in the spirit of the classical shooters. In the game are available a wide range of maps and several modes. Level system allows player to open achievements, weapons, stickers and more."
Fractured Space,Edge Case Games Ltd. ,Edge Case Games Ltd. ,"['Space', 'Multiplayer', 'Free to Play', 'PvP', 'MOBA', 'Action', 'Strategy', 'Sci-fi', 'Shooter', 'Space Sim', 'Tactical', 'Indie', 'Team-Based', 'Competitive', 'Co-op', 'Massively Multiplayer', 'Early Access', 'Open World', 'Simulation', 'Survival']","Take the helm of a gigantic capital ship and get ready for battle. Regular Episodes give you new maps and ways to fight - or play 5-v-5 PvE or PvP in classic Conquest – the high intensity moments of a shooter combine with careful team tactics and positioning as you battle across a multi-sector map.Fractured Space is an award winning team game. You can choose to play alone with a team of bots to help you, with other players against a team of AI, or in full PvP. New episodes are introduced regularly and are free-to-play, though all the legacy episodes and their content packs are also available for purchase and solo play.The game puts you in control of an immense capital ship, and there are dozens to unlock and select. Each ship has its own strengths and weakness, and a carefully selected crew can make all the difference in battle. Battle is what it’s all about – whether you fight in 5-v-5 Conquest against other players or take on the challenges of each new Episode, your tactics will be put to the test.Jump into a growing, active, friendly community. Fractured Space is free to play, and we put gameplay first. We keep things fair by making sure you can’t pay to win, and you will need to work to develop your own skills and play as a team to do well. Regular monthly enhancements to the game keep things fresh, and you can keep up to date on our website, in Discord or on the forums. We are also active on Facebook, Twitter and YouTube."
Counter-Strike: Global Offensive,"Valve, Hidden Path Entertainment ",Valve ,"['FPS', 'Multiplayer', 'Shooter', 'Action', 'Team-Based', 'Competitive', 'Tactical', 'First-Person', 'e-sports', 'PvP', 'Online Co-Op', 'Military', 'Co-op', 'Strategy', 'War', 'Trading', 'Difficult', 'Realistic', 'Fast-Paced', 'Moddable']","Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago.CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.).""Counter-Strike took the gaming industry by surprise when the unlikely MOD became the most played online PC action game in the world almost immediately after its release in August 1999,"" said Doug Lombardi at Valve. ""For the past 12 years, it has continued to be one of the most-played games in the world, headline competitive gaming tournaments and selling over 25 million units worldwide across the franchise. CS: GO promises to expand on CS' award-winning gameplay and deliver it to gamers on the PC as well as the next gen consoles and the Mac."""
Dota 2,Valve ,Valve ,"['Free to Play', 'MOBA', 'Strategy', 'Multiplayer', 'Team-Based', 'Action', 'e-sports', 'Online Co-Op', 'Competitive', 'PvP', 'RTS', 'Difficult', 'RPG', 'Fantasy', 'Tower Defense', 'Co-op', 'Character Customization', 'Replay Value', 'Action RPG', 'Simulation']","The most-played game on Steam.Every day, millions of players worldwide enter battle as one of over a hundred Dota heroes. And no matter if it's their 10th hour of play or 1,000th, there's always something new to discover. With regular updates that ensure a constant evolution of gameplay, features, and heroes, Dota 2 has truly taken on a life of its own.One Battlefield. Infinite Possibilities.When it comes to diversity of heroes, abilities, and powerful items, Dota boasts an endless array—no two games are the same. Any hero can fill multiple roles, and there's an abundance of items to help meet the needs of each game. Dota doesn't provide limitations on how to play, it empowers you to express your own style.All heroes are free.Competitive balance is Dota's crown jewel, and to ensure everyone is playing on an even field, the core content of the game—like the vast pool of heroes—is available to all players. Fans can collect cosmetics for heroes and fun add-ons for the world they inhabit, but everything you need to play is already included before you join your first match.Bring your friends and party up.Dota is deep, and constantly evolving, but it's never too late to join. Learn the ropes playing co-op vs. bots. Sharpen your skills in the hero demo mode. Jump into the behavior- and skill-based matchmaking system that ensures you'll be matched with the right players each game."
Path of Exile,Grinding Gear Games ,Grinding Gear Games ,"['Free to Play', 'Action RPG', 'Hack and Slash', 'RPG', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Loot', 'Fantasy', 'Adventure', 'MMORPG', 'Indie', 'Dungeon Crawler', 'Online Co-Op', 'Co-op', 'Character Customization', 'PvE', 'Dark Fantasy', 'Inventory Management', 'Fishing']","You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Created by hardcore gamers, Path of Exile is an online Action RPG set in a dark fantasy world. With a focus on visceral action combat, powerful items and deep character customization, Path of Exile is completely free and will never be pay-to-win.Key FeaturesFreedom. Power. Revenge.Banished for your misdeeds to the dark, brutal world of Wraeclast, you play as the Duelist, Witch, Ranger, Templar, Marauder, Shadow or the Scion class. From forsaken shores through to the ruined city of Sarn, explore Wraeclast and uncover the ancient secrets waiting for you.Unlimited Character CustomizationCreate and customize hundreds of unique skill combinations from tradable itemized gems and our gigantic passive skill tree. Combine skill gems, support gems and trigger gems to create your own unique combination of power, defense and destruction.Deadly MissionsThe Forsaken Masters each have their own style of mission and each of these missions has many variations. As you explore deeper into Wraeclast, the pool of available variations increases to challenge you in new ways. All of the Missions and their variations can occur anywhere in the game, including within end-game Maps.Dressed to KillPath of Exile is all about items. Find, collect and trade magic, rare and unique items with arcane properties, then customize your character build around the deadliest combinations you possess.Brutal Competitive PlayBattle in PvP tournaments seasons and Capture the Flag events for worldwide recognition. Compete in Daily Leagues and Race Events that run as separate game worlds with their own ladders and economies to win valuable prizes.Customise Your Hideout​In their extensive travels throughout Wraeclast, the Forsaken Masters have discovered ideal locations for an Exile to use as their own secret Hideout. Once you've earned a Master's trust, you may be taken to a Hideout, where you can create your own personalised town. Masters residing in your Hideout offer you daily Missions and train you in advanced crafting options. Use your Hideout as a quiet place to craft after battle, or expand it and use it as a personalised Guild Hall with hundreds of decorations.Fair-To-Play. Never Pay-To-Win. We're committed to creating a fair playing field for all players. You cannot gain gameplay advantage by spending real money in Path of Exile. "
War Thunder,Gaijin Entertainment ,Gaijin Entertainment ,"['Free to Play', 'World War II', 'Multiplayer', 'Simulation', 'Flight', 'War', 'Tanks', 'Military', 'Massively Multiplayer', 'Action', 'Realistic', 'Historical', 'Shooter', 'Team-Based', 'Co-op', 'Strategy', 'Arcade', 'FPS', 'Open World', 'TrackIR']","War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game for Windows, Linux, Mac, PlayStation®4 and Xbox One dedicated to aviation, armoured vehicles, and naval craft from World War II and the Cold War. Join now and take part in major battles on land, in the air, and at sea, fighting with millions of players from all over the world in an ever-evolving environment.In War Thunder, aircraft, attack helicopters, ground forces and naval ships collaborate in realistic competitive battles. You can choose from over 1,000 vehicles and an extensive variety of combat situations many of which are exclusive. You can find yourself blasting your pursuers from a bomber turret, defending your teammates on the ground from an air raid with anti-aircraft guns, shooting down enemy planes with a firestorm from multiple rocket launchers, or trying to sink an enemy warship with a torpedo from a fast attack boat.Features include:Seamless cross-platform gameplay between Windows PC, Linux, Mac, PlayStation®4 with Xbox One users being included in PC battles – everyone on the same server.Over 1,000 highly detailed aircraft, helicopters, tanks, warships and other combat vehicles crafted carefully from historical documents and surviving sources.80 maps representing the main historical battle theaters.Intense PvP experiences in full-scale combat missions at various difficulty settings for all play styles and degrees of experience.Rich PvE content including dynamic historical campaigns and solo missions.Regular content updates including new vehicles, maps, missions and nations.Astonishing graphics, authentic sound effects and beautiful music creating an atmosphere to fully immerse yourself in.Create custom content for War Thunder and share it on War Thunder Live, with the prospect of earning real money through the Revenue Share Partner System! "
Ring of Elysium,Aurora Studio ,Tencent Games ,"['Early Access', 'Free to Play', 'Battle Royale', 'Shooter', 'Survival', 'Multiplayer', 'Massively Multiplayer', 'Action', 'Open World', 'Third-Person Shooter', 'Early Access', 'FPS', 'Co-op', 'PvP', 'Tactical', 'First-Person', 'Violent', 'Destruction', 'Sandbox', 'Gore']", 
Team Fortress 2,Valve ,Valve ,"['Free to Play', 'Multiplayer', 'FPS', 'Action', 'Shooter', 'Class-Based', 'Team-Based', 'Funny', 'First-Person', 'Trading', 'Cartoony', 'Competitive', 'Online Co-Op', 'Co-op', 'Robots', 'Comedy', 'Tactical', 'Crafting', 'Cartoon', 'Moddable']","""The most fun you can have online"" - PC GamerIs now FREE! There’s no catch! Play as much as you want, as long as you like!The most highly-rated free game of all time! One of the most popular online action games of all time, Team Fortress 2 delivers constant free updates—new game modes, maps, equipment and, most importantly, hats. Nine distinct classes provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills.New to TF? Don’t sweat it! No matter what your style and experience, we’ve got a character for you. Detailed training and offline practice modes will help you hone your skills before jumping into one of TF2’s many game modes, including Capture the Flag, Control Point, Payload, Arena, King of the Hill and more.Make a character your own! There are hundreds of weapons, hats and more to collect, craft, buy and trade. Tweak your favorite class to suit your gameplay style and personal taste. You don’t need to pay to win—virtually all of the items in the Mann Co. Store can also be found in-game."
